Title,Author,Genre,Subject,Summary
Robin Hood,Paul Creswick (illustrated by N.C. Wyeth),Children's Illustrated Classic,"Sherwood Forest, Outlaws, Adventure","Creswick's retelling of the Robin Hood legends in the Scribner Illustrated Classic edition, with N.C. Wyeth's full-color plates."
Rose Windows,Helga Meyerbröker,Craft Instruction / Waldorf,"Transparency Craft, Paper Folding","Instructions for folding translucent paper rose windows to hang in the light, a Waldorf seasonal craft."
"Rosie Revere, Engineer",Andrea Beaty (illustrated by David Roberts),Children's Picture Book,"Engineering, Persistence, Failure",Rosie hides her inventions until her great-great-aunt teaches her that a flop is only a failure if you quit.
Saint George and the Dragon,Margaret Hodges (illustrated by Trina Schart Hyman),Children's Picture Book / Legend,"Legends, Chivalry, Dragons","Retold from Spenser's Faerie Queene, the Red Cross Knight battles a fearsome dragon for three days to free a kingdom — a Caldecott Medal winner."
Saltwater Taffy,Eric DelaBarre (illustrated by R.C. Nason),Children's Chapter Book,"Treasure Hunt, Friendship, Pirates",Five friends in a small Washington coastal town find a treasure map said to belong to the pirate Jean Lafitte. An adventure with a heavy dose of life lessons.
Sam & Dave Dig a Hole,Mac Barnett (illustrated by Jon Klassen),Children's Picture Book,"Persistence, Irony, Humor","Sam and Dave dig looking for something spectacular, missing enormous diamonds by inches each time they change direction — a joke only the reader is in on."
Say It in French,Dover Publications,Phrase Book,"French, Travel","A compact traveler's phrase book with over 1,900 entries, pronunciation transcriptions, a menu guide and word-substitution prompts."
Science Comics: Bats,Falynn Koch,Children's Graphic Novel / Nonfiction,"Bats, Ecology","A full-length nonfiction comic explaining the subject from the ground up, with a narrative frame and accurate science throughout."
Science Comics: Cars,Dan Zettwoch,Children's Graphic Novel / Nonfiction,"Cars, Engineering","A full-length nonfiction comic explaining the subject from the ground up, with a narrative frame and accurate science throughout."
Science Comics: Coral Reefs,Maris Wicks,Children's Graphic Novel / Nonfiction,"Coral Reefs, Marine Biology","A full-length nonfiction comic explaining the subject from the ground up, with a narrative frame and accurate science throughout."
Science Comics: Dinosaurs,MK Reed & Joe Flood,Children's Graphic Novel / Nonfiction,"Dinosaurs, Paleontology","A full-length nonfiction comic explaining the subject from the ground up, with a narrative frame and accurate science throughout."
Science Comics: Dogs,Andy Hirsch,Children's Graphic Novel / Nonfiction,"Dogs, Genetics, Evolution","A full-length nonfiction comic explaining the subject from the ground up, with a narrative frame and accurate science throughout."
Science Comics: Flying Machines,Alison Wilgus & Molly Brooks,Children's Graphic Novel / Nonfiction,"Aviation, Wright Brothers","A full-length nonfiction comic explaining the subject from the ground up, with a narrative frame and accurate science throughout."
Science Comics: Plagues,Falynn Koch,Children's Graphic Novel / Nonfiction,"Disease, Microbiology","A full-length nonfiction comic explaining the subject from the ground up, with a narrative frame and accurate science throughout."
Science Comics: Polar Bears,Jason Viola & Zack Giallongo,Children's Graphic Novel / Nonfiction,"Polar Bears, Arctic","A full-length nonfiction comic explaining the subject from the ground up, with a narrative frame and accurate science throughout."
Science Comics: Robots and Drones,Mairghread Scott & Jacob Chabot,Children's Graphic Novel / Nonfiction,"Robotics, Technology","A full-length nonfiction comic explaining the subject from the ground up, with a narrative frame and accurate science throughout."
Science Comics: Rockets,Anne & Jerzy Drozd,Children's Graphic Novel / Nonfiction,"Rockets, Spaceflight","A full-length nonfiction comic explaining the subject from the ground up, with a narrative frame and accurate science throughout."
Science Comics: Solar System,Rosemary Mosco & Jon Chad,Children's Graphic Novel / Nonfiction,"Solar System, Astronomy","A full-length nonfiction comic explaining the subject from the ground up, with a narrative frame and accurate science throughout."
Science Comics: The Brain,Tory Woollcott & Alex Graudins,Children's Graphic Novel / Nonfiction,"Neuroscience, Brain","A full-length nonfiction comic explaining the subject from the ground up, with a narrative frame and accurate science throughout."
Science Comics: Trees,Andy Hirsch,Children's Graphic Novel / Nonfiction,"Trees, Botany","A full-length nonfiction comic explaining the subject from the ground up, with a narrative frame and accurate science throughout."
Science Comics: Volcanoes,Jon Chad,Children's Graphic Novel / Nonfiction,"Volcanoes, Geology","A full-length nonfiction comic explaining the subject from the ground up, with a narrative frame and accurate science throughout."
Science Comics: Wild Weather,MK Reed & Jonathan Hill,Children's Graphic Novel / Nonfiction,"Weather, Meteorology","A full-length nonfiction comic explaining the subject from the ground up, with a narrative frame and accurate science throughout."
Scrapper,"Alex de Campi & Cliff Bleszinski (illustrated by Sandy Jarrell and Ryan Kelly, colored by Jordie Bellaire)",Young Adult Graphic Novel / Science Fiction,"Dogs, Dystopia, Superheroes",A stray dog and his friend Tank patrol a domed post-apocalyptic city and end up rallying its animals against the authorities. Collects the six-issue Image Comics miniseries; for older readers than most of this shelf.
Seek and Find: Dinosaurs,Usborne,Children's Search-and-Find,"Dinosaurs, Prehistoric Life",Prehistoric landscapes filled with dinosaurs to identify and count.
Seek the Traitor's Son,Veronica Roth,Fantasy / Science Fiction,"Prophecy, War, Romance",Two women on opposing sides hear the same prophecy and neither knows which of them it means. First of The Burning Empire duology.
Sex Is a Funny Word,Cory Silverberg (illustrated by Fiona Smyth),Children's Graphic Novel / Nonfiction,"Bodies, Consent, Sex Education","A comics-format book about bodies, gender, touch, and consent for children roughly eight to ten, designed to be read with an adult."
She Persisted,Chelsea Clinton (illustrated by Alexandra Boiger),Children's Nonfiction / Biography,"Women's History, Perseverance","Thirteen short profiles of American women who kept going when they were told no, from Harriet Tubman to Sonia Sotomayor."
Should I Share My Ice Cream?,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Sharing, Generosity, Decision Making",Gerald agonizes over whether to share his ice cream cone for so long that it melts — and Piggie shares hers instead.
Sitting Together: Activity Book,Sumi Loundon Kim,Children's Activity Book,"Mindfulness, Buddhism, Family Practice","Activities, crafts and exercises for children accompanying the Sitting Together family mindfulness curriculum."
Sitting Together: Adult Study Guide,Sumi Loundon Kim,Teaching Guide,"Mindfulness, Buddhism, Parenting","The adult companion volume of the Sitting Together curriculum, offering readings and reflections for parents practicing alongside their children."
Sitting Together: Children's Lesson Plans,Sumi Loundon Kim,Teaching Guide,"Mindfulness, Buddhism, Family Practice","Lesson plans for leading children through a family dharma curriculum of mindfulness, kindness and meditation practices."
Skunk and Badger,Amy Timberlake (illustrated by Jon Klassen),Children's Chapter Book,"Odd Couple, Friendship, Rocks",Badger's quiet rock-science routine is upended when Skunk moves in. First of the Skunk and Badger series.
Sky Phenomena: A Guide to Naked-Eye Observation of the Stars,Norman Davidson,Astronomy Guide,"Naked-Eye Astronomy, Observation","A guide to observing the sky as it appears to the unaided eye, tracing the movements of sun, moon, planets and stars through the year."
Smithsonian Animal: The Definitive Visual Guide,DK / Smithsonian,Reference,"Animals, Zoology, Natural History","A comprehensive photographic survey of the animal kingdom covering thousands of species by group, with habitat, distribution and behavior notes. Third edition."
Smithsonian Children's Illustrated Atlas,DK / Smithsonian,Children's Reference / Atlas,"World Geography, Maps","A region-by-region illustrated world atlas for children, with physical and political maps surrounded by pictures of the landmarks, wildlife, foods and people of each area."
Smithsonian Kids Everything You Need to Know Activity Book,Smithsonian Kids,Children's Activity Book,"General Knowledge, Puzzles","Puzzles, quizzes and activities spanning science, history, nature and space."
Snake: The Essential Visual Guide,Chris Mattison (DK),Reference,"Snakes, Reptiles","A photographic survey of snake species worldwide, covering anatomy, venom, hunting, reproduction and conservation."
Song of the Sea: The Graphic Novel,Samuel Sattin (based on the film by Tomm Moore),Children's Graphic Novel,"Selkies, Irish Folklore, Grief","Ben and his silent little sister Saoirse discover she is a selkie and set out to keep the spirit world from fading. Adapted from the Cartoon Saloon film, with a bonus story by Tomm Moore."
Song of the Wild: A First Book of Animals,Nicola Davies (illustrated by Petr Horáček),Children's Poetry / Nature,"Animals, Nature, Poetry","Poems about animals grouped by size, habitat and behavior, pairing lyrical verse with factual notes."
Songbird of the Sorrows,Braidee Otto,Fantasy / Romance,"Spies, Bridal Trials, Greek-Inspired",An exiled princess raised as a spy must resume her old title to compete in deadly bridal trials in an enemy kingdom. First of Myths of the Empyrieos.
Sophie's Squash,Pat Zietlow Miller (illustrated by Anne Wilsdorf),Children's Picture Book,"Friendship, Gardens, Letting Go",Sophie adopts a butternut squash as her best friend and has to learn what to do when it starts to go soft.
Spelling by Hand: Teaching Spelling in a Waldorf School,Jeremy Herrmann,Teaching Guide / Waldorf Curriculum,"Spelling, Language Arts, Waldorf Pedagogy","A class teacher's guide to teaching spelling through rhyme, play, imagination and movement rather than rote drill."
Splat the Cat: The Name of the Game,Rob Scotton,Early Reader / I Can Read,"School, Teamwork, Cats","Splat's team faces a school contest, and Splat has to figure out how to help without letting his nerves get the better of him."
